"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc" "depth_max_round" "season" "station" "total_abundance_m3" "Actinopterygii" "Amphipoda" "Annelida" "Appendicularia" "Bryozoa" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria_Ctenophora" "Copepoda" "Euphausiacea" "Gastropoda" "Leptocardii" "Ostracoda" "Other" "Thaliacea"
"11" "2019_pos536_bongo20r_lrg" 2019-08-30 "22:30" 34 -37 0 100 75.28464 100 "Summer_2019" "G" 4.25053503609767 0.132829219878052 0.146112141865857 0.0664146099390261 0.0265658439756104 0 0 0.836824085231729 0.451619347585377 0.491468113548793 1.42127265269516 0.478185191560988 0.0132829219878052 0 0.0929804539146365 0.0664146099390261 0.0265658439756104
"12" "2019_pos536_bongo21l_lrg" 2019-08-30 "23:49" 34 -37 0 300 124.4676375 300 "Summer_2019" "G" 2.06479375010231 0.0642737354117451 0.0562395184852769 0.0160684338529363 0.00803421692646814 0 0 0.682908438749792 0.168718555455831 0.160684338529363 0.586497835632174 0.232992290867576 0.0160684338529363 0 0.0321368677058725 0 0.0401710846323407
"13" "2019_pos536_bongo22r_lrg" 2019-09-01 "13:07" 33 -36 0 10 78.25194 10 "Summer_2019" "H" 1.30348206063645 0.076675415331556 0 0.038337707665778 0.0127792358885927 0 0 0.587844850875263 0.0255584717771853 0.0638961794429633 0.38337707665778 0.102233887108741 0 0 0.0127792358885927 0 0
"14" "2019_pos536_bongo23r_lrg" 2019-09-01 "14:10" 33 -37 0 100 108.454815 100 "Summer_2019" "H" 7.92034913341561 0.184408594491632 0.0922042972458161 0.0829838675212345 0.110645156694979 0 0.00922042972458162 2.2590052825225 2.48029559591245 0.387258048432428 1.84408594491632 0.248951602563704 0.00922042972458162 0 0.101424726970398 0.0276612891737448 0.0829838675212345
"15" "2019_pos536_bongo24l_lrg" 2019-09-01 "15:26" 33 -37 0 300 273.683086875 300 "Summer_2019" "H" 1.24596665396333 0.0292308892425415 0.0255770280872239 0.0146154446212708 0.0219231669319062 0 0 0.317885920512639 0.0803849454169893 0.0986542511935777 0.42750175517217 0.149808307368025 0 0 0.0109615834659531 0 0.0694233619510362
"16" "2019_pos536_bongo25r_lrg" 2019-09-02 "09:40" 34 -37 0 10 60.36336 10 "Summer_2019" "I" 3.13103843126029 0.0993980454368345 0.132530727249113 0.0165663409061391 0.0331326818122782 0 0 1.04367947708676 0.0496990227184173 0.662653636245564 0.91114874983765 0.149097068155252 0 0 0.0331326818122782 0 0
"17" "2019_pos536_bongo26l_lrg" 2019-09-02 "10:35" 34 -37 0 100 70.02828 100 "Summer_2019" "I" 1.79927309367016 0.0428398355635752 0.0571197807514336 0.0142799451878584 0.0142799451878584 0 0.0142799451878584 0.556917862326477 0.157079397066442 0.314158794132885 0.399838465260035 0.171359342254301 0.0142799451878584 0 0 0 0.0428398355635752
"18" "2019_pos536_bongo27l_lrg" 2019-09-02 "11:49" 34 -37 0 300 273.683086875 300 "Summer_2019" "I" 1.2386589316527 0.0438463338638123 0.0365386115531769 0.0146154446212708 0.0182693057765885 0 0 0.416540171706217 0.0182693057765885 0.0730772231063539 0.453078783259394 0.109615834659531 0.00365386115531769 0 0.0255770280872239 0.00365386115531769 0.0219231669319062
"19" "2019_pos536_bongo28l_lrg" 2019-09-04 "08:02" 33 -33 0 10 65.5667325 10 "Summer_2019" "J" 1.76918988604473 0.167768006435276 0.0762581847433071 0.0457549108459843 0.0152516369486614 0 0 0.381290923716536 0.0152516369486614 0.671072025741103 0.305032738973229 0.0610065477946457 0.0152516369486614 0 0 0 0.0152516369486614
"20" "2019_pos536_bongo29l_lrg" 2019-09-04 "08:59" 33 -33 0 100 91.6789725 100 "Summer_2019" "J" 2.53056937347329 0.0545381330489933 0.119983892707785 0 0.032722879829396 0 0 0.65445759658792 0.305413545074363 0.447212691001745 0.556288957099732 0.272690665244967 0.0436305064391947 0 0.0436305064391947 0 0
"21" "2019_pos536_bongo30r_lrg" 2019-09-04 "10:09" 33 -33 0 300 145.122165 300 "Summer_2019" "J" 1.5986531071942 0.0137814923033983 0.0137814923033983 0.0137814923033983 0 0 0.00689074615169916 0.461679992163843 0.110251938427187 0.137814923033983 0.647730138259721 0.16537790764078 0.00689074615169916 0 0.0137814923033983 0.00689074615169916 0
"22" "2019_pos536_bongo3l_lrg" 2019-08-20 "07:00" 33.2625 -34.5648333333333 0 100 232.84827 100 "Summer_2019" "A" 1.78657114351762 0.0128839265157521 0.0343571373753389 0 0.00429464217191736 0 0 0.0858928434383472 0.184669613392447 0.171785686876694 1.03071412126017 0.167491044704777 0.00429464217191736 0 0.0343571373753389 0 0.0558303482349257
"23" "2019_pos536_bongo4l_lrg" 2019-08-23 "02:27" 33.15085 -39.9981666666667 0 10 49.787055 10 "Summer_2019" "B" 12.1316675589669 0.0401710846323407 0.200855423161703 0 0 0 0.0200855423161703 0.100427711580852 4.35856268260896 0.863678319595324 4.17779280176343 1.58675784297746 0.0401710846323407 0.0401710846323407 0.642737354117451 0.060256626948511 0
"24" "2019_pos536_bongo5l_lrg" 2019-08-23 "03:23" 33.1493333333333 -39.9995 0 100 155.889225 100 "Summer_2019" "B" 5.58088604263701 0.0577333038893483 0.0513184923460874 0.0449036808028265 0 0.00641481154326093 0.00641481154326093 0.724873704388485 0.218103592470872 0.147540665495001 3.02779104841916 0.564503415806962 0.0320740577163046 0.00641481154326093 0.314325765619785 0.00641481154326093 0.372059069509134
"25" "2019_pos536_bongo6l_lrg" 2019-08-23 "04:29" 33.1498333333333 -39.9985 0 300 288.527535 300 "Summer_2019" "B" 2.71031324618636 0.0173293685817543 0.0207952422981051 0.0069317474327017 0.00346587371635085 0 0 0.398575477380348 0.0450563583125611 0.0450563583125611 1.40367885512209 0.235679412711858 0.0173293685817543 0 0.128237327504981 0.0069317474327017 0.381246108798593
"26" "2019_pos536_bongo7l_lrg" 2019-08-24 "23:56" 34.6276666666667 -39.381 0 10 131.309080714286 10 "Summer_2019" "C" 3.6935754736971 0.274162303202259 0.083771814867357 0 0.00761561953339609 0 0.0152312390667922 0.083771814867357 0.456937172003765 0.365549737603012 1.02810863700847 1.20326788627658 0.0152312390667922 0 0.159928010201318 0 0
"27" "2019_pos536_bongo8r_lrg" 2019-08-25 "01:04" 34.6423333333333 -39.4648333333333 0 100 122.97339 100 "Summer_2019" "C" 6.71690029851174 0.146373129991781 0.162636811101979 0.00813184055509895 0 0 0 0.341537303314156 0.357800984424354 0.333405462759057 4.17976604532086 0.878238779950687 0.00813184055509895 0 0.268350738318265 0 0.0325273622203958
"28" "2019_pos536_bongo9r_lrg" 2019-08-25 "10:09" 34 -39 0 300 367.288155 300 "Summer_2019" "C" 4.9661280255553 0.0816797372624227 0.0626211319011908 0.0245039211787268 0.00272265790874742 0 0.00544531581749485 0.506414371027021 0.0381172107224639 0.0816797372624227 2.21896619562915 0.250484527604763 0.0163359474524845 0 0.231425922243531 0.019058605361232 1.42667274418365
"29" "2020_so279_bongo16a_lrg" 2020-12-22 "05:23" 33.2351666666667 -33.8108166666667 0 220 235.599 300 "Winter_2020" "N" 1.79542357989635 0.0636675028332039 0.016978000755521 0.016978000755521 0 0 0.00848900037776052 0.382005016999223 0 0.178269007932971 0.976235043442459 0.118846005288647 0 0.00424450018888026 0.0127335005666408 0.00848900037776052 0.00848900037776052
"30" "2020_so279_bongo17a_lrg" 2020-12-22 "07:02" 33.2880333333333 -33.8242666666667 0 6 73.269 10 "Winter_2020" "N" 2.79790907477924 0.0955383586509984 0.0682416847507131 0.218373391202282 0 0 0 0.805251880058415 0 0.300263412903138 1.0236252712607 0.191076717301997 0.0136483369501426 0 0.0136483369501426 0 0.0682416847507131
"31" "2020_so279_bongo18a_lrg" 2020-12-22 "07:41" 33.3073 -33.8285333333333 0 80 126.357 100 "Winter_2020" "N" 2.50085076410488 0.0712267622688098 0.0712267622688098 0.0474845081792065 0.00791408469653442 0 0.0237422540896033 0.854721147225718 0.00791408469653442 0.348219726647515 0.815150723743046 0.150367609234154 0 0 0.0395704234826721 0.0237422540896033 0.0395704234826721
"32" "2020_so279_bongo1a_lrg" 2020-12-17 "04:03" 31.2732666666667 -29.5420166666667 0 5 89.2395 10 "Winter_2020" "K" 6.51056987096521 0.224116002442864 0.0672348007328593 0.100852201099289 0 0 0 0.571495806229304 0 0.425820404641442 4.13494024507085 0.818023408916455 0.0224116002442864 0 0.112058001221432 0.0112058001221432 0.0224116002442864
"33" "2020_so279_bongo22a_lrg" 2020-12-28 "01:50" 35.0695 -20.9118666666667 0 300 267.4875 300 "Winter_2020" "O" 1.67484461890743 0.0261694471704285 0.0112154773587551 0.0299079396233469 0.00373849245291836 0 0 0.366372260385999 0.00373849245291836 0.0635543716996121 0.968269545305855 0.145801205663816 0 0 0.041123416982102 0.0149539698116734 0
"34" "2020_so279_bongo24a_lrg" 2020-12-28 "04:28" 35.1222833333333 -20.8416666666667 0 10 735.651 10 "Winter_2020" "O" 0.748996467074741 0.00815604138375398 0.00271868046125133 0.0135934023062566 0.00135934023062566 0 0.00135934023062566 0.0978724966050478 0 0.0421395471493956 0.505674565792747 0.0666076713006575 0 0 0.00271868046125133 0.00407802069187699 0.00271868046125133
"35" "2020_so279_bongo2a_lrg" 2020-12-17 "04:53" 31.2953 -29.5526166666667 0 82 133.371 100 "Winter_2020" "K" 4.01136678888214 0.157455518815934 0.0524851729386448 0.0299915273935113 0.0299915273935113 0 0 0.599830547870227 0 0.352400446873758 2.13689632678768 0.397387737964025 0 0.0149957636967557 0.194944928057824 0.0149957636967557 0.0299915273935113
"36" "2020_so279_bongo3a_lrg" 2020-12-18 "22:30" 31.2444166666667 -33.9264666666667 0 8 75.096 10 "Winter_2020" "L" 3.51550015979546 0.0532651539362949 0.0266325769681474 0.10653030787259 0.0133162884840737 0 0 0.519335250878875 0 0.159795461808885 2.17055502290402 0.279642058165548 0.0532651539362949 0 0.0133162884840737 0.0399488654522212 0.0798977309044423
"37" "2020_so279_bongo4a_lrg" 2020-12-18 "23:10" 31.2599166666667 -33.944 0 122 116.529 100 "Winter_2020" "L" 2.31701979764694 0.0772339932548979 0.0429077740304988 0.0257446644182993 0 0 0 0.454822404723288 0 0.0943971028670975 1.33014099494546 0.223120424958594 0.00858155480609977 0.0257446644182993 0.0257446644182993 0.00858155480609977 0
"38" "2020_so279_bongo7a_lrg" 2020-12-20 "17:58" 33.2923 -34.4928666666667 0 300 225.7395 300 "Winter_2020" "M" 1.18720915037023 0.00442988488944115 0.0177195395577646 0.031009194226088 0 0 0 0.279082748034792 0.00442988488944115 0.0442988488944115 0.664482733416172 0.0930275826782641 0.0088597697788823 0 0.0132896546683234 0.0132896546683234 0.0132896546683234
"39" "2020_so279_bongo8a_lrg" 2020-12-20 "20:05" 33.24745 -34.4743333333333 0 125 92.001 100 "Winter_2020" "M" 2.20649775545918 0.0108694470712275 0.0652166824273649 0.0434777882849099 0 0 0.0108694470712275 0.619558483059967 0 0.195650047282095 0.956511342268019 0.239127835567005 0 0 0.0326083412136825 0.0326083412136825 0
"40" "2020_so279_bongo9a_lrg" 2020-12-20 "21:08" 33.2238833333333 -34.4715333333333 0 11 59.3775 10 "Winter_2020" "M" 7.8480906067113 0.134731169213928 0.101048376910446 0.252620942276115 0.016841396151741 0 0 1.24626331522883 0 0.69049724222138 4.53033556481832 0.656814449917898 0 0 0 0.117889773062187 0.101048376910446
